Caching material files...
DDS only:72: models/darkmod/props/textures/metal_d
DDS only:85: models/darkmod/props/textures/belt_pouch
DDS only:86: models/darkmod/props/textures/belt_pouch_local
DDS only:87: models/darkmod/props/textures/belt_pouch_s
DDS only:102: models/darkmod/props/textures/woolen_cap_01
DDS only:103: models/darkmod/props/textures/woolen_cap_01_local
DDS only:115: models/darkmod/props/textures/woolen_cap_01
DDS only:129: models/darkmod/props/textures/woolen_cap_02
DDS only:130: models/darkmod/props/textures/woolen_cap_01_local
DDS only:142: models/darkmod/props/textures/woolen_cap_02
DDS only:156: models/darkmod/props/textures/hat_straw
DDS only:157: models/darkmod/props/textures/hat_straw_local
DDS only:169: models/darkmod/props/textures/hat_straw
DDS only:185: models/darkmod/props/textures/feather_grey
DDS only:189: models/darkmod/props/textures/feather_local
DDS only:190: models/darkmod/props/textures/feather_s
DDS only:202: models/darkmod/props/textures/feather_grey
DDS only:9: textures/darkmod/city/roof/ctyroof01
DDS only:10: textures/darkmod/city/roof/ctyroof01
DDS only:11: textures/darkmod/city/roof/ctyroof01_local
DDS only:22: textures/darkmod/city/roof/ctyroof01
DDS only:33: textures/darkmod/city/roof/ctyroof02
DDS only:34: textures/darkmod/city/roof/ctyroof02
DDS only:35: textures/darkmod/city/roof/ctyroof02_local
DDS only:46: textures/darkmod/city/roof/ctyroof02
DDS only:57: textures/darkmod/mansion/floor/manfslate1
DDS only:58: textures/darkmod/mansion/floor/manfslate1
DDS only:59: textures/darkmod/mansion/floor/manfslate1_local
DDS only:70: textures/darkmod/mansion/floor/manfslate1
DDS only:9: textures/darkmod/city/floor/ctygravel01
DDS only:10: textures/darkmod/city/floor/ctygravel01
DDS only:11: textures/darkmod/city/floor/ctygravel01_local
DDS only:22: textures/darkmod/city/floor/ctygravel01
DDS only:33: textures/darkmod/city/floor/ctygravel02
DDS only:34: textures/darkmod/city/floor/ctygravel02
DDS only:35: textures/darkmod/city/floor/ctygravel01_local
DDS only:46: textures/darkmod/city/floor/ctygravel02
DDS only:57: textures/darkmod/city/floor/ctygravel03
DDS only:58: textures/darkmod/city/floor/ctygravel03
DDS only:59: textures/darkmod/city/floor/ctygravel03_local
DDS only:70: textures/darkmod/city/floor/ctygravel03
DDS only:81: textures/darkmod/city/floor/ctygravel04
DDS only:82: textures/darkmod/city/floor/ctygravel04
DDS only:83: textures/darkmod/city/floor/ctygravel04_local
DDS only:94: textures/darkmod/city/floor/ctygravel04
DDS only:105: textures/darkmod/city/floor/ctygravel05
DDS only:106: textures/darkmod/city/floor/ctygravel05
DDS only:107: textures/darkmod/city/floor/ctygravel05_local
DDS only:118: textures/darkmod/city/floor/ctygravel05
DDS only:129: textures/darkmod/city/floor/ctygravel06
DDS only:130: textures/darkmod/city/floor/ctygravel06
DDS only:131: textures/darkmod/city/floor/ctygravel06_local
DDS only:142: textures/darkmod/city/floor/ctygravel06
DDS only:152: textures/darkmod/city/floor/ctygravel07
DDS only:153: textures/darkmod/city/floor/ctygravel07
DDS only:154: textures/darkmod/city/floor/ctygravel05_local
DDS only:165: textures/darkmod/city/floor/ctygravel07
DDS only:8: textures/darkmod/mansion/ceiling/manceiling01
DDS only:9: textures/darkmod/mansion/ceiling/manceiling01
DDS only:11: textures/darkmod/mansion/ceiling/manceiling01_local
DDS only:22: textures/darkmod/mansion/ceiling/manceiling01
DDS only:32: textures/darkmod/mansion/ceiling/manceiling05
DDS only:33: textures/darkmod/mansion/ceiling/manceiling05
DDS only:34: textures/darkmod/mansion/ceiling/manceiling05_local
DDS only:45: textures/darkmod/mansion/ceiling/manceiling05
DDS only:55: textures/darkmod/mansion/ceiling/manceiling02
DDS only:56: textures/darkmod/mansion/ceiling/manceiling02
DDS only:58: textures/darkmod/mansion/ceiling/manceiling02_local
DDS only:69: textures/darkmod/mansion/ceiling/manceiling02
DDS only:79: textures/darkmod/mansion/ceiling/manceiling06
DDS only:80: textures/darkmod/mansion/ceiling/manceiling06
DDS only:81: textures/darkmod/mansion/ceiling/manceiling06_local
DDS only:92: textures/darkmod/mansion/ceiling/manceiling06
DDS only:102: textures/darkmod/mansion/ceiling/manceiling03
DDS only:103: textures/darkmod/mansion/ceiling/manceiling03
DDS only:105: textures/darkmod/mansion/ceiling/manceiling03_local
DDS only:116: textures/darkmod/mansion/ceiling/manceiling03
DDS only:126: textures/darkmod/mansion/ceiling/manceiling03b
DDS only:127: textures/darkmod/mansion/ceiling/manceiling03b
DDS only:129: textures/darkmod/mansion/ceiling/manceiling03_local
DDS only:140: textures/darkmod/mansion/ceiling/manceiling03b
DDS only:150: textures/darkmod/mansion/wall/manwall01sh
DDS only:151: textures/darkmod/mansion/wall/manwall01sh
DDS only:152: textures/darkmod/mansion/wall/manwall01sh_s
DDS only:153: textures/darkmod/mansion/wall/manwall01sh_local
DDS only:164: textures/darkmod/mansion/wall/manwall01sh
DDS only:174: textures/darkmod/mansion/wall/manwpanel03
DDS only:175: textures/darkmod/mansion/wall/manwpanel03
DDS only:176: textures/darkmod/mansion/wall/manwpanel03_local
DDS only:187: textures/darkmod/mansion/wall/manwpanel03
DDS only:198: textures/darkmod/pagan/ceiling/pagceiling01_ed
DDS only:199: textures/darkmod/pagan/ceiling/pagceiling01
DDS only:201: textures/darkmod/pagan/ceiling/pagceiling01_local
DDS only:212: textures/darkmod/pagan/ceiling/pagceiling01
DDS only:222: textures/darkmod/mansion/ceiling/manceiling04
DDS only:223: textures/darkmod/mansion/ceiling/manceiling04
DDS only:224: textures/darkmod/mansion/ceiling/manceiling04_s
DDS only:225: textures/darkmod/mansion/ceiling/manceiling04_local
DDS only:236: textures/darkmod/mansion/ceiling/manceiling04
DDS only:7: models/md5/chars/thief/thief_d
DDS only:8: models/md5/chars/thief/thief_s
DDS only:9: models/md5/chars/thief/thief1_local
DDS only:19: models/md5/chars/thief/thief_d
DDS only:29: models/md5/chars/thief/thief_head_d
DDS only:39: models/md5/chars/thief/thief_head_d
DDS only:50: models/md5/chars/thief/thief_leather

materials/tdm_ai_thief.mtr
Missing:51: models/md5/chars/thief/thief_leather_s
DDS only:52: models/md5/chars/thief/thief_leather_local
DDS only:62: models/md5/chars/thief/thief_leather
DDS only:73: models/md5/chars/thief/thief_leather_inside
Missing:74: models/md5/chars/thief/thief_leather_s
DDS only:75: models/md5/chars/thief/thief_leather_local
DDS only:85: models/md5/chars/thief/thief_leather_inside
DDS only:96: models/weapons/shortbow/bracer_d
DDS only:106: models/weapons/shortbow/bracer_d
DDS only:116: models/md5/chars/thief/playerhand_d
DDS only:126: models/md5/chars/thief/playerhand_d
Missing:135: models/md5/chars/thief/bow_d
DDS only:144: models/md5/chars/thief/thief1_local
DDS only:146: models/md5/chars/thief/thief_d
DDS only:147: models/md5/chars/thief/thief_s
DDS only:148: models/md5/chars/thief/thief1_local
DDS only:158: models/md5/chars/thief/thief_d
DDS only:169: models/md5/chars/thief/thief_d
DDS only:170: models/md5/chars/thief/thief_s
DDS only:171: models/md5/chars/thief/thief1_local
DDS only:181: models/md5/chars/thief/thief_d
DDS only:3: textures/darkmod/portal_sky
DDS only:12: models/darkmod/nature/leaves_d
DDS only:18: models/darkmod/nature/leaves_d
DDS only:27: models/darkmod/nature/leaves_s
DDS only:34: models/darkmod/nature/leaves_l
DDS only:42: models/darkmod/nature/leaves_d
DDS only:50: textures/darkmod/foliage/trim/pine_001_d
DDS only:56: textures/darkmod/foliage/trim/pine_001_d
DDS only:65: textures/darkmod/foliage/trim/pine_001_s
DDS only:72: textures/darkmod/foliage/trim/pine_001_local
DDS only:80: textures/darkmod/foliage/trim/pine_001_d
DDS only:88: textures/darkmod/foliage/trim/leaves_001_d
DDS only:94: textures/darkmod/foliage/trim/leaves_001_d
DDS only:103: textures/darkmod/foliage/trim/leaves_001_s
DDS only:110: textures/darkmod/foliage/trim/leaves_001_local
DDS only:118: textures/darkmod/foliage/trim/leaves_001_d

materials/collision.mtr
Missing:9: textures/common/collision
Missing:18: textures/common/collision
Missing:27: textures/common/collision
Missing:37: textures/common/collision
Missing:46: textures/common/collision
Missing:55: textures/common/collision
Missing:64: textures/common/collision
Missing:73: textures/common/collision
Missing:82: textures/common/collision
Missing:92: textures/common/collision
Missing:102: textures/common/collision
Missing:112: textures/common/collision
Missing:122: textures/common/collision
Missing:132: textures/common/collision
Missing:142: textures/common/collision
Missing:152: textures/common/collision
Missing:162: textures/common/collision
Missing:172: textures/common/collision
Missing:182: textures/common/collision
Missing:192: textures/common/collision
Missing:202: textures/common/collision
Missing:212: textures/common/collision
Missing:222: textures/common/collision
Missing:232: textures/common/collision
Missing:242: textures/common/collision
Missing:252: textures/common/collision
Missing:262: textures/common/collision
Missing:272: textures/common/collision
Missing:282: textures/common/collision
Missing:292: textures/common/collision
Missing:302: textures/common/collision
Missing:312: textures/common/collision
Missing:322: textures/common/collision
DDS only:6: textures/darkmod/stone/floor/rough_001_editor
DDS only:7: textures/darkmod/stone/floor/rough_001_editor
DDS only:8: textures/darkmod/stone/floor/rough_001_local
DDS only:20: textures/darkmod/stone/floor/rough_001_editor

materials/askave.mtr
Missing:24: textures/darkmod/stone/floor/rough_detail
DDS only:9: models/darkmod/props/textures/potbottle_d
DDS only:10: models/darkmod/props/textures/potbottle_local
DDS only:11: models/darkmod/props/textures/potbottle_s
DDS only:21: models/darkmod/props/textures/potbottle_d

materials/potions.mtr
Missing:44: textures/sfx/vp1 // the normal map for distortion
DDS only:47: models/darkmod/props/textures/airpotion_s
DDS only:58: models/darkmod/props/textures/potion_glass
Missing:70: models/darkmod/props/textures/airpotion
DDS only:82: models/darkmod/props/textures/health
DDS only:88: models/darkmod/props/textures/health
DDS only:102: models/darkmod/props/textures/health
DDS only:114: models/darkmod/props/textures/holywater
DDS only:120: models/darkmod/props/textures/holywater
DDS only:134: models/darkmod/props/textures/holywater
Missing:157: textures/sfx/vp1 // the normal map for distortion
DDS only:165: models/darkmod/props/textures/airpotion_s
DDS only:172: models/darkmod/props/textures/potion_glass
DDS only:185: models/darkmod/props/textures/holywater
DDS only:195: models/darkmod/props/textures/airpotion_s
DDS only:199: models/darkmod/props/textures/speedpotion
DDS only:207: models/darkmod/props/textures/speedpotion
DDS only:221: models/darkmod/props/textures/speedpotion
DDS only:232: models/darkmod/props/textures/health
DDS only:235: models/darkmod/props/textures/health
DDS only:241: models/darkmod/props/textures/health
DDS only:254: models/darkmod/props/textures/health
DDS only:260: models/darkmod/props/textures/potion_glass
DDS only:9: textures/darkmod/mansion/wall/manwtrim03
DDS only:10: textures/darkmod/mansion/wall/manwtrim03
DDS only:11: textures/darkmod/mansion/wall/manwtrim03_s
DDS only:12: textures/darkmod/mansion/wall/manwtrim03_local
DDS only:23: textures/darkmod/mansion/wall/manwtrim03
DDS only:9: textures/darkmod/mansion/floor/manfloor02
DDS only:10: textures/darkmod/mansion/floor/manfloor02
DDS only:11: textures/darkmod/mansion/floor/manfloor02_s
DDS only:22: textures/darkmod/mansion/floor/manfloor02
DDS only:33: textures/darkmod/mansion/floor/manfloor02cen1
DDS only:34: textures/darkmod/mansion/floor/manfloor02cen1
DDS only:35: textures/darkmod/mansion/floor/manfloor02cen1_s
DDS only:46: textures/darkmod/mansion/floor/manfloor02cen1
DDS only:57: textures/darkmod/mansion/floor/manfloor02cen2
DDS only:58: textures/darkmod/mansion/floor/manfloor02cen2
DDS only:59: textures/darkmod/mansion/floor/manfloor02cen2_s
DDS only:70: textures/darkmod/mansion/floor/manfloor02cen2
DDS only:82: textures/darkmod/tile/floor/marble_002_center1_editor

materials/tdm_tile_floor.mtr
DDS only:83: textures/darkmod/tile/floor/marble_002_center1
DDS only:84: textures/darkmod/tile/floor/marble_002_center1_s
DDS only:95: textures/darkmod/tile/floor/marble_002_center1
DDS only:107: textures/darkmod/tile/floor/marble_002_center2_editor
DDS only:108: textures/darkmod/tile/floor/marble_002_center2
DDS only:109: textures/darkmod/tile/floor/marble_002_center2_s
DDS only:120: textures/darkmod/tile/floor/marble_002_center2
DDS only:132: textures/darkmod/tile/floor/marble_002_center3_editor
DDS only:133: textures/darkmod/tile/floor/marble_002_center3
DDS only:134: textures/darkmod/tile/floor/marble_002_center3_s
DDS only:145: textures/darkmod/tile/floor/marble_002_center3
DDS only:157: textures/darkmod/tile/floor/marble_002_center4_editor
DDS only:158: textures/darkmod/tile/floor/marble_002_center4
DDS only:159: textures/darkmod/tile/floor/marble_002_center4_s
DDS only:170: textures/darkmod/tile/floor/marble_002_center4
DDS only:182: textures/darkmod/tile/floor/marble_002_center5_editor
DDS only:183: textures/darkmod/tile/floor/marble_002_center5
DDS only:184: textures/darkmod/tile/floor/marble_002_center5_s
DDS only:195: textures/darkmod/tile/floor/marble_002_center5
DDS only:206: textures/darkmod/mansion/floor/manfloor02
DDS only:207: textures/darkmod/mansion/floor/manfloor02
DDS only:208: textures/darkmod/mansion/floor/manfloor02_s
DDS only:227: textures/darkmod/mansion/floor/manfloor02
DDS only:238: textures/darkmod/mansion/floor/manfloor02cen1
DDS only:239: textures/darkmod/mansion/floor/manfloor02cen1
DDS only:240: textures/darkmod/mansion/floor/manfloor02cen1_s
DDS only:259: textures/darkmod/mansion/floor/manfloor02cen1
DDS only:270: textures/darkmod/mansion/floor/manfloor02cen2
DDS only:271: textures/darkmod/mansion/floor/manfloor02cen2
DDS only:272: textures/darkmod/mansion/floor/manfloor02cen2_s
DDS only:291: textures/darkmod/mansion/floor/manfloor02cen2
DDS only:303: textures/darkmod/tile/floor/marble_002_center1_editor
DDS only:304: textures/darkmod/tile/floor/marble_002_center1
DDS only:305: textures/darkmod/tile/floor/marble_002_center1_s
DDS only:324: textures/darkmod/tile/floor/marble_002_center1
DDS only:336: textures/darkmod/tile/floor/marble_002_center2_editor
DDS only:337: textures/darkmod/tile/floor/marble_002_center2
DDS only:338: textures/darkmod/tile/floor/marble_002_center2_s
DDS only:357: textures/darkmod/tile/floor/marble_002_center2
DDS only:369: textures/darkmod/tile/floor/marble_002_center3_editor
DDS only:370: textures/darkmod/tile/floor/marble_002_center3
DDS only:371: textures/darkmod/tile/floor/marble_002_center3_s
DDS only:390: textures/darkmod/tile/floor/marble_002_center3
DDS only:402: textures/darkmod/tile/floor/marble_002_center4_editor
DDS only:403: textures/darkmod/tile/floor/marble_002_center4
DDS only:404: textures/darkmod/tile/floor/marble_002_center4_s
DDS only:423: textures/darkmod/tile/floor/marble_002_center4
DDS only:435: textures/darkmod/tile/floor/marble_002_center5_editor
DDS only:436: textures/darkmod/tile/floor/marble_002_center5
DDS only:437: textures/darkmod/tile/floor/marble_002_center5_s
DDS only:456: textures/darkmod/tile/floor/marble_002_center5
DDS only:468: textures/darkmod/tile/floor/marble_003_ed
DDS only:469: textures/darkmod/tile/floor/marble_003_d
DDS only:470: textures/darkmod/tile/floor/marble_003_local
DDS only:471: textures/darkmod/tile/floor/marble_003_s
DDS only:482: textures/darkmod/tile/floor/marble_003_d
DDS only:6: models/darkmod/props/textures/machine01_d
DDS only:7: models/darkmod/props/textures/machine01_local
DDS only:8: models/darkmod/props/textures/machine01_s
DDS only:18: models/darkmod/props/textures/machine01_d

materials/mechanical.mtr
Missing:25: models/my
DDS only:28: models/darkmod/props/textures/generator_d
DDS only:29: models/darkmod/props/textures/generator_s
DDS only:30: models/darkmod/props/textures/generator_local
DDS only:39: models/darkmod/props/textures/fan_d
DDS only:40: models/darkmod/props/textures/fan_local
DDS only:41: models/darkmod/props/textures/fan_s
DDS only:51: models/darkmod/props/textures/fan_d
DDS only:60: textures/darkmod/castle/wall/caswpanel01b
DDS only:61: textures/darkmod/castle/wall/caswpanel01b
DDS only:62: textures/darkmod/castle/wall/caswpanel01_local
DDS only:73: textures/darkmod/castle/wall/caswpanel01b
DDS only:82: textures/darkmod/castle/floor/casfloor02
DDS only:83: textures/darkmod/castle/floor/casfloor02
DDS only:84: textures/darkmod/castle/floor/casfloor02_s
DDS only:85: textures/darkmod/castle/floor/casfloor02_local
DDS only:96: textures/darkmod/castle/floor/casfloor02
DDS only:105: textures/darkmod/metal/floor/rust_004_ed
DDS only:106: textures/darkmod/metal/floor/rust_004_d
DDS only:107: textures/darkmod/metal/floor/rust_004_local
DDS only:118: textures/darkmod/metal/floor/rust_004_d
DDS only:127: models/darkmod/props/textures/water_mill_combined
DDS only:128: models/darkmod/props/textures/water_mill_combined
DDS only:140: models/darkmod/props/textures/water_mill_combined
DDS only:184: textures/darkmod/sfx/whiteglass
DDS only:185: textures/darkmod/sfx/whiteglass
DDS only:190: textures/darkmod/sfx/whiteglass

materials/tdm_ai_heads_dev.mtr
Missing:6: models/md5/chars/heads/ascottk/ask_head_local, heightmap( 
DDS only:9: models/md5/chars/heads/ascottk/ask_head_d
DDS only:15: models/md5/chars/heads/ascottk/ask_head_d
DDS only:25: models/md5/chars/heads/ascottk/ask_hair_local
DDS only:28: models/md5/chars/heads/ascottk/ask_hair_d
DDS only:31: models/md5/chars/heads/ascottk/ask_hair_s
DDS only:41: models/md5/chars/heads/ascottk/ask_hair_d
Missing:54: models/md5/chars/heads/npcs/beard_black
Missing:55: models/md5/chars/heads/npcs/beard_black_local
Missing:56: models/md5/chars/heads/npcs/beard_black_s
DDS only:9: textures/darkmod/nature/grass02
DDS only:10: textures/darkmod/nature/grass02
DDS only:11: textures/darkmod/nature/grass02_local
DDS only:22: textures/darkmod/nature/grass02
DDS only:32: textures/darkmod/nature/grass03
DDS only:33: textures/darkmod/nature/grass03
DDS only:34: textures/darkmod/nature/grass03_local
DDS only:45: textures/darkmod/nature/grass03
DDS only:55: textures/darkmod/nature/grass04
DDS only:56: textures/darkmod/nature/grass04
DDS only:57: textures/darkmod/nature/grass03_local
DDS only:68: textures/darkmod/nature/grass04
DDS only:79: textures/darkmod/nature/mossyrock_001_ed
DDS only:80: textures/darkmod/nature/mossyrock_001
DDS only:81: textures/darkmod/nature/mossyrock_001_local
DDS only:82: textures/darkmod/nature/mossyrock_001_s
DDS only:93: textures/darkmod/nature/mossyrock_001
DDS only:105: textures/darkmod/nature/mossyrock_002_ed
DDS only:106: textures/darkmod/nature/mossyrock_002
DDS only:107: textures/darkmod/nature/mossyrock_002_local
DDS only:108: textures/darkmod/nature/mossyrock_002_s
DDS only:119: textures/darkmod/nature/mossyrock_002
DDS only:131: textures/darkmod/nature/mossyrock_003_ed
DDS only:132: textures/darkmod/nature/mossyrock_003
DDS only:133: textures/darkmod/nature/mossyrock_003_local
DDS only:134: textures/darkmod/nature/mossyrock_003_s
DDS only:145: textures/darkmod/nature/mossyrock_003
DDS only:156: textures/darkmod/nature/grass01
DDS only:157: textures/darkmod/nature/grass01
DDS only:158: textures/darkmod/nature/grass01_local
DDS only:169: textures/darkmod/nature/grass01
DDS only:179: textures/darkmod/nature/straw01
DDS only:180: textures/darkmod/nature/straw01
DDS only:181: textures/darkmod/nature/straw01_local
DDS only:192: textures/darkmod/nature/straw01

materials/tdm_grass_floor.mtr
Missing:199: textures/hell/dirt02
Missing:204: textures/hell/dirt02
Missing:205: textures/hell/dirt02_local, heightmap( 
Missing:206: textures/hell/dirt02_s
Missing:216: textures/hell/dirt02
DDS only:9: textures/darkmod/foliage/wall/hedge_001_editor

materials/tdm_foliage_wall.mtr
DDS only:10: textures/darkmod/foliage/wall/hedge_001
DDS only:11: textures/darkmod/foliage/wall/hedge_001_local
DDS only:22: textures/darkmod/foliage/wall/hedge_001
DDS only:10: models/darkmod/props/textures/plate1_d
DDS only:11: models/darkmod/props/textures/plate1_local
DDS only:12: models/darkmod/props/textures/plate1_s
DDS only:23: models/darkmod/props/textures/plate1_d
DDS only:33: models/darkmod/props/textures/plate4_d
DDS only:34: models/darkmod/props/textures/plate4_local
DDS only:35: models/darkmod/props/textures/plate4_s
DDS only:46: models/darkmod/props/textures/plate4_d
DDS only:57: models/darkmod/props/textures/goblet1_d
DDS only:58: models/darkmod/props/textures/goblet1_s
DDS only:69: models/darkmod/props/textures/goblet1_d
DDS only:80: models/darkmod/props/textures/goblet3_d
DDS only:81: models/darkmod/props/textures/goblet1_s
DDS only:92: models/darkmod/props/textures/goblet3_d
DDS only:104: models/darkmod/props/textures/wbottle03_d
DDS only:105: models/darkmod/props/textures/wbottle03_s
DDS only:117: models/darkmod/props/textures/wbottle03_d
DDS only:133: models/darkmod/props/textures/gold_tiling_d
DDS only:134: models/darkmod/props/textures/thehammer_medium_stone_local
DDS only:135: models/darkmod/props/textures/gold_tiling_s

materials/loot.mtr
Missing:145: models/darkmod/props/textures/gold_tiling
DDS only:157: models/darkmod/props/textures/coinsuv2_d
DDS only:168: models/darkmod/props/textures/coinsuv2_d
DDS only:178: models/darkmod/props/textures/coins3_d
DDS only:179: models/darkmod/props/textures/coins3_s
DDS only:190: models/darkmod/props/textures/coins3_d
DDS only:202: models/darkmod/props/textures/purse_d
DDS only:203: textures/darkmod/nature/grass02_local
DDS only:214: models/darkmod/props/textures/purse_d
DDS only:225: models/darkmod/props/textures/purse_rope_d
DDS only:226: textures/darkmod/nature/grass02_local
DDS only:236: models/darkmod/props/textures/purse_rope_d
DDS only:251: textures/darkmod/sfx/whiteglass
DDS only:252: textures/darkmod/sfx/whiteglass
DDS only:253: models/darkmod/props/textures/irongate_s
DDS only:263: textures/darkmod/sfx/whiteglass
DDS only:276: textures/darkmod/sfx/redglass
DDS only:277: textures/darkmod/sfx/redglass
DDS only:278: models/darkmod/props/textures/irongate_s
DDS only:288: textures/darkmod/sfx/redglass
DDS only:301: textures/darkmod/sfx/blueglass
DDS only:302: textures/darkmod/sfx/blueglass
DDS only:303: models/darkmod/props/textures/irongate_s
DDS only:313: textures/darkmod/sfx/blueglass
DDS only:326: textures/darkmod/sfx/greenglass
DDS only:327: textures/darkmod/sfx/greenglass
DDS only:328: models/darkmod/props/textures/irongate_s
DDS only:338: textures/darkmod/sfx/greenglass
DDS only:350: models/darkmod/props/textures/smallbowl_d
DDS only:351: models/darkmod/props/textures/smallbowl_s
DDS only:352: models/darkmod/props/textures/smallbowl_local
DDS only:363: models/darkmod/props/textures/smallbowl_d
DDS only:374: models/darkmod/props/textures/scepter_d
DDS only:375: models/darkmod/props/textures/scepter_s
DDS only:386: models/darkmod/props/textures/scepter_d
DDS only:403: models/darkmod/props/textures/diamond_large_d
DDS only:418: models/darkmod/props/textures/diamond_large_d
DDS only:429: models/darkmod/props/textures/gold_tiling_d
DDS only:430: models/darkmod/props/textures/statue_loot_local
DDS only:431: models/darkmod/props/textures/gold_tiling_s
DDS only:442: models/darkmod/props/textures/gold_tiling_d
DDS only:5: models/darkmod/props/textures/tree_branch_01
DDS only:14: models/darkmod/props/textures/tree_branch_01
DDS only:25: models/darkmod/props/textures/tree_branch_01
DDS only:33: models/darkmod/props/textures/tree_branch_01
DDS only:42: models/darkmod/props/textures/tree_branch_01
DDS only:53: models/darkmod/props/textures/tree_branch_01
DDS only:61: models/darkmod/props/textures/tree_branch_02
DDS only:70: models/darkmod/props/textures/tree_branch_02
DDS only:81: models/darkmod/props/textures/tree_branch_02
DDS only:89: models/darkmod/props/textures/trees_01
DDS only:98: models/darkmod/props/textures/trees_01
DDS only:109: models/darkmod/props/textures/trees_01
DDS only:120: models/darkmod/props/textures/plant_02
DDS only:129: models/darkmod/props/textures/plant_02
DDS only:140: models/darkmod/props/textures/plant_02
DDS only:150: models/darkmod/props/textures/plant_03
DDS only:159: models/darkmod/props/textures/plant_03
DDS only:170: models/darkmod/props/textures/plant_03
DDS only:180: models/darkmod/props/textures/plant_05
DDS only:189: models/darkmod/props/textures/plant_05
DDS only:200: models/darkmod/props/textures/plant_05
DDS only:209: models/darkmod/props/textures/bark
DDS only:213: models/darkmod/props/textures/bark
DDS only:214: models/darkmod/props/textures/bark_local
DDS only:224: models/darkmod/props/textures/bark
DDS only:233: models/darkmod/props/textures/bark_02
DDS only:237: models/darkmod/props/textures/bark_02
DDS only:238: models/darkmod/props/textures/bark_02_local
DDS only:248: models/darkmod/props/textures/bark_02
DDS only:259: models/darkmod/props/textures/stump
DDS only:261: models/darkmod/props/textures/stump
DDS only:262: models/darkmod/props/textures/stump_local
DDS only:272: models/darkmod/props/textures/stump
DDS only:5: textures/darkmod/city/window/ctywindow01
DDS only:7: textures/darkmod/city/window/ctywindow01
DDS only:8: textures/darkmod/city/window/ctywindow01_s
DDS only:9: textures/darkmod/city/window/ctywindow01_local
DDS only:19: textures/darkmod/city/window/ctywindow01
DDS only:29: textures/darkmod/city/window/ctywindow01b
DDS only:31: textures/darkmod/city/window/ctywindow01b
DDS only:32: textures/darkmod/city/window/ctywindow01_s
DDS only:33: textures/darkmod/city/window/ctywindow01_local
DDS only:43: textures/darkmod/city/window/ctywindow01b
DDS only:54: textures/darkmod/city/window/ctywindow02
DDS only:56: textures/darkmod/city/window/ctywindow02
DDS only:58: textures/darkmod/city/window/ctywindow02_local
DDS only:68: textures/darkmod/city/window/ctywindow02
DDS only:9: textures/darkmod/set/rugs/setrug03
DDS only:10: textures/darkmod/set/rugs/setrug03
DDS only:11: textures/darkmod/set/rugs/setrug03_local
DDS only:22: textures/darkmod/set/rugs/setrug03
DDS only:33: textures/darkmod/set/rugs/setrug02
DDS only:34: textures/darkmod/set/rugs/setrug02
DDS only:35: textures/darkmod/set/rugs/setrug02_local
DDS only:46: textures/darkmod/set/rugs/setrug02
DDS only:57: textures/darkmod/set/rugs/setrug03sh
DDS only:58: textures/darkmod/set/rugs/setrug03sh
DDS only:59: textures/darkmod/set/rugs/setrug03sh_local
DDS only:70: textures/darkmod/set/rugs/setrug03sh
DDS only:81: textures/darkmod/set/rugs/setrug01
DDS only:82: textures/darkmod/set/rugs/setrug01
DDS only:83: textures/darkmod/set/rugs/setrug01_local
DDS only:94: textures/darkmod/set/rugs/setrug01
DDS only:105: textures/darkmod/set/rugs/setrug01sh
DDS only:106: textures/darkmod/set/rugs/setrug01sh
DDS only:107: textures/darkmod/set/rugs/setrug01sh_local
DDS only:118: textures/darkmod/set/rugs/setrug01sh
DDS only:129: textures/darkmod/set/rugs/setrug02sh
DDS only:130: textures/darkmod/set/rugs/setrug02sh
DDS only:131: textures/darkmod/set/rugs/setrug02sh_local
DDS only:142: textures/darkmod/set/rugs/setrug02sh
DDS only:153: textures/darkmod/set/rugs/setrug04cen
DDS only:154: textures/darkmod/set/rugs/setrug04cen
DDS only:155: textures/darkmod/set/rugs/setrug04cen_local
DDS only:166: textures/darkmod/set/rugs/setrug04cen
DDS only:177: textures/darkmod/set/rugs/setrug04end
DDS only:178: textures/darkmod/set/rugs/setrug04end
DDS only:179: textures/darkmod/set/rugs/setrug04end_local
DDS only:190: textures/darkmod/set/rugs/setrug04end

materials/tdm_snow_floor.mtr
DDS only:13: textures/darkmod/snow/floor/rippled_001
DDS only:19: textures/darkmod/snow/floor/rippled_001_local
DDS only:26: textures/darkmod/detail/static_blurred
DDS only:33: textures/darkmod/detail/static_blurred
DDS only:48: textures/darkmod/snow/floor/rippled_001
DDS only:61: textures/darkmod/snow/floor/icy_001_editor
DDS only:62: textures/darkmod/snow/floor/icy_001
DDS only:63: textures/darkmod/snow/floor/icy_001_s
DDS only:64: textures/darkmod/snow/floor/icy_001_local
DDS only:75: textures/darkmod/snow/floor/icy_001
DDS only:179: models/darkmod/props/textures/bc_lampglass3
DDS only:197: models/darkmod/props/textures/bc_lampglass3
DDS only:211: models/darkmod/props/textures/bc_lampglass3
DDS only:225: models/darkmod/props/textures/bc_lampglass3
DDS only:230: models/darkmod/props/textures/bc_lampglass3
DDS only:259: textures/darkmod/sfx/bc_sparx
DDS only:270: textures/darkmod/sfx/bc_sparx
DDS only:283: textures/darkmod/sfx/bc_sparx2
DDS only:294: textures/darkmod/sfx/bc_sparx2
DDS only:309: models/md5/chars/steambots/bc_lanternbot
DDS only:321: models/md5/chars/steambots/bc_lanternbot
